experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
2,1000,100,1,Dynamic,0.000314916,13996,"[101,118,171,207,213,214,337,354,500,540,559,608,719,813,823,848,886,904,922,930,997]"
2,1000,100,10,Dynamic,0.00860904,15263,"[33,53,62,106,168,181,192,234,303,328,492,541,544,566,672,756,828,859,912,930,933,935,984]"
2,1000,100,2,Dynamic,0.0128119,17087,"[31,33,66,76,82,153,184,333,451,454,470,526,630,633,779,803,804,852,878,881,916,941,942]"
2,1000,100,3,Dynamic,0.000146528,13716,"[27,92,123,141,158,223,225,254,285,300,320,358,371,401,491,640,676,729,753,861,960]"
2,1000,100,4,Dynamic,0.00020289,13801,"[42,47,66,89,98,127,155,164,175,254,420,505,514,520,546,549,756,795,802,819,891,925,956,967,988]"
2,1000,100,5,Dynamic,0.000148483,12601,"[10,20,195,209,251,262,315,329,338,427,470,503,627,852,859,876,943,979]"
2,1000,100,6,Dynamic,0.000144503,17487,"[67,99,246,299,347,382,398,404,451,456,505,512,586,629,678,733,745,824,856,859,872,996]"
2,1000,100,7,Dynamic,0.000147924,17221,"[42,94,122,143,175,205,234,235,242,298,303,306,333,386,405,488,609,646,660,695,766,802,921,938]"
2,1000,100,8,Dynamic,0.00015449,15514,"[11,14,72,90,100,209,220,259,370,442,562,590,597,600,690,723,733,750,778,790,794,795,817,827,848,851,987]"
2,1000,100,9,Dynamic,0.00016797,15582,"[14,83,181,193,194,235,268,282,306,331,337,352,396,402,432,434,580,614,827,870,881,902,976]"
2,100,100,1,Dynamic,3.6876e-05,16897,"[4,8,10,11,14,18,32,33,36,37,42,51,60,67,68,74,80,83,84,90,95,97,98]"
2,100,100,10,Dynamic,0.000774056,14314,"[3,8,14,16,19,21,25,28,31,42,47,48,53,54,56,63,66,82,83,88,91]"
2,100,100,2,Dynamic,2.9613e-05,14012,"[0,2,8,15,20,24,28,36,37,38,40,41,42,54,55,61,76,83,88,91,92]"
2,100,100,3,Dynamic,7.054e-05,14576,"[0,4,5,6,11,21,25,33,35,39,41,48,54,57,58,69,74,75,84,92,96,97]"
2,100,100,4,Dynamic,4.2534e-05,16262,"[2,4,5,17,19,20,23,38,39,42,46,48,50,55,60,67,69,72,74,82,89,92,94]"
2,100,100,5,Dynamic,2.4794e-05,16605,"[2,3,5,10,18,20,30,36,37,41,42,43,47,49,55,58,64,66,74,80,84,87,95]"
2,100,100,6,Dynamic,0.00418024,15080,"[5,18,20,27,33,39,45,62,66,67,70,71,73,76,77,79,86,87,91,93,96,99]"
2,100,100,7,Dynamic,0.00353406,16669,"[7,9,12,19,30,33,40,43,49,50,51,53,57,58,59,62,63,71,75,76,79]"
2,100,100,8,Dynamic,2.9124e-05,17724,"[1,5,6,8,16,24,28,30,33,36,37,44,47,51,57,66,69,71,79,80,81,85,86,88,89,93,95]"
2,100,100,9,Dynamic,3.1988e-05,23300,"[1,4,7,11,12,13,15,25,27,29,39,44,45,50,51,52,55,60,62,64,68,69,70,74,76,79,80,84,88,90,96]"
2,1100,100,1,Dynamic,0.000143385,13655,"[22,52,291,293,427,492,493,495,497,527,533,577,710,781,821,830,882,918,928]"
2,1100,100,10,Dynamic,0.000170413,15558,"[26,124,194,251,258,435,477,531,602,638,663,677,688,746,761,763,765,807,814,824,898,950,989,1021,1068,1087]"
2,1100,100,2,Dynamic,0.000168249,14014,"[4,69,100,139,146,154,261,359,398,479,508,573,604,634,685,729,743,876,891,944,952,1003,1072]"
2,1100,100,3,Dynamic,0.000153651,14053,"[55,69,92,101,157,202,283,296,301,321,553,575,660,755,814,933,947,1015,1043,1091,1098]"
2,1100,100,4,Dynamic,0.000157912,14331,"[86,123,128,256,426,552,667,701,743,755,791,839,868,882,953,1022,1024,1042,1062,1069,1082,1093]"
2,1100,100,5,Dynamic,0.000174534,19564,"[6,15,49,100,109,134,145,151,170,173,199,490,555,556,591,592,633,732,830,850,886,887,893,911,982,1063,1086,1099]"
2,1100,100,6,Dynamic,0.000168598,17242,"[12,30,85,285,311,394,416,444,468,497,575,579,643,844,851,859,927,940,948,953,957,1006,1058,1079,1083]"
2,1100,100,7,Dynamic,0.000139963,15071,"[163,167,184,197,232,253,345,403,407,432,477,493,577,601,678,827,956,1025,1029,1060]"
2,1100,100,8,Dynamic,0.000154979,14135,"[55,66,331,341,377,435,531,546,586,604,639,704,726,736,813,908,999,1004,1048,1059]"
