experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
3,1000,1000,1,BranchAndBound,0.00163351,11758,"[116,138,156,178,379,411,425,476,580,587,589,617,637,764,826,837]"
3,1000,1000,2,BranchAndBound,0.00166173,11866,"[15,25,51,53,221,245,264,266,288,320,387,463,470,537,546,560,596,674,681,703,783,867,883,885,920,956,999]"
3,1000,1000,3,BranchAndBound,0.00134137,13194,"[102,228,294,327,452,479,527,567,579,603,667,714,754,760,802,823,825,830,831,854]"
3,1000,1000,4,BranchAndBound,0.0022507,17940,"[32,35,41,43,113,134,167,171,174,214,254,261,285,290,338,471,476,517,566,605,787,811,819,851,865,892]"
3,1000,1000,5,BranchAndBound,0.00207428,12865,"[29,73,98,125,141,236,257,367,391,527,537,546,561,571,653,677,715,762,765,800,826,834,908,936,944,980,986,991]"
3,1000,1000,6,BranchAndBound,0.00212547,16006,"[39,193,343,404,422,435,467,470,483,484,495,499,562,647,653,661,711,841,860,907,962,995]"
3,1000,1000,7,BranchAndBound,0.00286201,17840,"[29,147,156,167,171,223,234,255,454,472,587,594,602,636,653,760,799,804,877,908,911]"
3,1000,1000,8,BranchAndBound,0.00216731,11739,"[84,178,189,197,203,227,237,253,261,298,317,403,500,507,518,543,570,663,689,732,792,840,924]"
3,1000,1000,9,BranchAndBound,0.00223987,17353,"[6,23,157,184,213,245,322,394,422,447,497,535,546,560,596,636,690,754,760,775,892,925]"
3,1000,1000,10,BranchAndBound,0.00271689,14122,"[173,175,181,185,206,244,269,362,370,399,405,470,486,555,578,615,619,687,727,796,840]"
3,1100,1100,1,BranchAndBound,0.00122208,13565,"[84,182,255,268,316,476,785,892,910,955,1059,1081,1082,1087]"
3,1100,1100,2,BranchAndBound,0.00145821,15006,"[52,90,95,129,146,168,170,339,432,519,591,596,613,661,722,740,768,799,820,826,1018]"
3,1100,1100,3,BranchAndBound,0.00179715,14108,"[28,35,58,124,175,183,273,321,331,371,384,427,433,524,559,561,621,673,687,698,712,862,868,894,898,970,999,1019]"
3,1100,1100,4,BranchAndBound,0.00131944,14036,"[94,199,265,307,399,402,412,484,528,559,608,612,722,726,753,757,838,1045,1047,1072]"
3,1100,1100,5,BranchAndBound,0.00144885,12410,"[55,68,93,181,187,238,278,305,317,385,478,593,613,685,686,710,723,853,863,901,976,1025,1058]"
3,1100,1100,6,BranchAndBound,0.00149013,12073,"[61,209,223,252,260,266,379,400,412,421,646,660,682,699,711,816,871,901,907,914,946,967]"
3,1100,1100,7,BranchAndBound,0.00153336,13427,"[73,156,225,237,264,278,530,632,762,846,885,887,916,977,1011]"
3,1100,1100,8,BranchAndBound,0.00144054,18934,"[12,84,149,177,179,248,297,340,429,515,606,613,680,734,847,884,885,904,955,961,991]"
3,1100,1100,9,BranchAndBound,0.00120916,13717,"[121,135,184,196,231,239,245,424,468,475,556,583,639,697,758,794,949,992,1009,1027]"
3,1100,1100,10,BranchAndBound,0.00157492,16801,"[35,74,106,239,253,324,454,486,491,498,534,561,583,639,640,650,659,769,772,815,833,835,895,909,974,992,1011,1018,1049]"
3,1200,1200,1,BranchAndBound,0.00201156,17023,"[61,71,212,215,253,437,440,514,518,620,659,691,701,782,969,1035,1082,1171,1199]"
3,1200,1200,2,BranchAndBound,0.00194186,11356,"[37,185,248,286,339,583,603,654,678,717,787,790,908,909,1085,1098,1185,1191]"
3,1200,1200,3,BranchAndBound,0.0027736,18542,"[92,146,150,159,211,246,325,360,487,629,645,678,715,731,763,872,907,933,956,990,992,996,1178,1185]"
3,1200,1200,4,BranchAndBound,0.00223785,11651,"[1,49,214,250,307,348,371,380,381,454,464,552,575,671,678,701,714,723,958,986,1037,1041,1049,1054,1109,1193]"
3,1200,1200,5,BranchAndBound,0.00205172,11558,"[87,174,195,336,344,412,441,503,551,607,653,678,752,833,894,932,1002,1085,1192]"
3,1200,1200,6,BranchAndBound,0.00211011,14105,"[14,26,103,114,139,159,385,386,417,433,479,492,531,624,654,682,719,759,822,857,897,978,1054,1071,1098,1138,1165]"
3,1200,1200,7,BranchAndBound,0.00361769,18730,"[52,60,123,133,191,197,201,210,314,320,368,405,415,418,496,504,523,599,629,651,747,758,771,918,975,976,1147]"
3,1200,1200,8,BranchAndBound,0.00254571,20932,"[4,8,22,36,62,64,188,224,301,393,485,494,516,584,601,675,701,721,851,913,1103,1142,1166,1173,1186]"
3,1200,1200,9,BranchAndBound,0.00248578,18905,"[116,121,162,164,219,285,295,298,324,359,392,434,536,548,597,667,690,745,801,852,927,965,973,1045,1118,1191]"
3,1200,1200,10,BranchAndBound,0.00305408,13275,"[2,42,179,250,281,411,435,472,516,568,627,660,672,726,751,771,889,929,964,1029]"
3,1300,1300,1,BranchAndBound,0.00155243,15513,"[186,242,300,340,382,439,462,507,529,541,547,551,598,602,659,1074,1076,1093,1105,1111]"
3,1300,1300,2,BranchAndBound,0.00207532,14527,"[0,1,200,221,226,309,343,344,383,495,524,600,626,627,644,718,814,824,847,865,968,1034,1101,1153,1164,1179,1192]"
3,1300,1300,3,BranchAndBound,0.00220481,15225,"[77,115,123,277,329,353,370,396,490,519,528,552,599,602,751,769,864,914,938,982,1027,1039,1054,1148,1264]"
3,1300,1300,4,BranchAndBound,0.00261415,16090,"[130,195,260,279,280,317,327,365,374,390,424,459,540,550,575,718,751,949,1087,1088,1098,1122,1290]"
3,1300,1300,5,BranchAndBound,0.00188494,12801,"[79,135,193,265,332,352,377,488,497,604,653,667,874,973,998,1048,1060,1078,1080,1102,1154,1269]"
3,1300,1300,6,BranchAndBound,0.00197915,17695,"[56,70,98,144,353,358,370,406,420,436,480,581,615,622,635,642,747,934,937,944,948,1176,1218]"
3,1300,1300,7,BranchAndBound,0.00155948,13705,"[66,85,118,267,291,461,518,519,566,633,680,770,838,941,948,1067,1078,1208,1232,1244]"
3,1300,1300,8,BranchAndBound,0.00194193,17337,"[0,107,151,206,464,529,576,638,787,854,872,895,927,1013,1079,1100,1123,1133,1170,1252]"
3,1300,1300,9,BranchAndBound,0.00191092,13910,"[98,176,183,393,535,599,631,650,770,777,793,827,898,944,961,1075,1083,1103,1134,1212,1240,1265,1271]"
3,1300,1300,10,BranchAndBound,0.00196547,15897,"[60,68,177,259,395,454,549,603,638,756,770,834,857,864,900,901,950,1061,1192,1255]"
3,1400,1400,1,BranchAndBound,0.00337653,14174,"[78,88,146,260,373,459,559,576,627,652,659,672,683,733,758,813,857,875,994,1027,1052,1063,1093,1135,1218,1353]"
3,1400,1400,2,BranchAndBound,0.00446053,18910,"[68,78,79,182,191,282,365,541,554,620,748,756,777,785,885,902,946,968,982,1114,1129,1192,1302,1313]"
3,1400,1400,3,BranchAndBound,0.00288855,15598,"[55,63,186,207,450,683,692,733,1149,1155,1213,1215,1224,1239,1241,1318,1355,1394]"
3,1400,1400,4,BranchAndBound,0.00288178,15785,"[62,80,251,295,405,647,654,690,697,768,907,925,1008,1137,1157,1214,1312,1362]"
3,1400,1400,5,BranchAndBound,0.00319243,16824,"[47,116,133,173,285,321,375,411,425,577,604,607,647,781,843,964,976,1007,1059,1212,1292,1335]"
3,1400,1400,6,BranchAndBound,0.00278477,16323,"[24,65,219,297,413,469,785,869,909,978,1090,1194,1260,1276,1281,1293,1310,1315,1323,1343]"
3,1400,1400,7,BranchAndBound,0.00354422,12810,"[320,330,346,365,370,586,590,606,634,692,738,800,822,830,884,910,927,1103,1168,1196,1338,1348,1349]"
3,1400,1400,8,BranchAndBound,0.00371785,19697,"[27,146,176,210,378,389,465,552,606,642,782,868,929,949,974,1063,1067,1128,1143,1265,1330,1334,1390]"
3,1400,1400,9,BranchAndBound,0.00376646,16705,"[102,146,178,210,242,272,325,420,464,511,513,593,675,677,718,912,1058,1109,1125,1199,1206]"
3,1400,1400,10,BranchAndBound,0.0032944,16759,"[11,33,145,155,261,569,580,612,712,771,900,910,955,971,974,1106,1228,1269,1305,1314,1315,1331]"
3,1500,1500,1,BranchAndBound,0.00331661,23824,"[42,125,145,289,330,334,363,409,584,606,722,866,872,905,1029,1106,1124,1132,1266,1290,1332,1344,1411,1441,1462]"
3,1500,1500,2,BranchAndBound,0.00222143,16190,"[13,22,224,449,453,457,529,537,560,594,625,700,702,790,1010,1142,1166,1173,1348,1455]"
3,1500,1500,3,BranchAndBound,0.00282283,15857,"[75,89,148,197,206,212,226,251,326,522,535,565,589,591,606,642,645,698,907,1028,1146,1163,1448]"
3,1500,1500,4,BranchAndBound,0.00194074,14978,"[1,18,208,219,250,253,296,334,424,438,480,484,548,734,755,1166,1189,1194]"
3,1500,1500,5,BranchAndBound,0.00197273,14643,"[18,34,68,102,160,202,404,409,483,535,565,607,637,773,839,869,886,1025,1083,1129,1135,1234,1350,1356,1399]"
3,1500,1500,6,BranchAndBound,0.00299269,16616,"[52,235,309,340,363,404,411,425,448,470,563,757,806,982,1014,1093,1130,1141,1200,1317]"
3,1500,1500,7,BranchAndBound,0.00220544,16786,"[66,229,239,308,341,411,466,542,577,582,654,700,719,727,746,980,1131,1139,1153,1194,1225,1283,1311,1390,1420,1456]"
3,1500,1500,8,BranchAndBound,0.00217212,13130,"[57,148,333,357,367,446,530,582,601,610,702,736,796,801,907,913,999,1006,1026,1093,1181,1479]"
3,1500,1500,9,BranchAndBound,0.00200346,16047,"[79,107,204,208,225,287,415,449,519,711,741,807,876,978,1110,1337,1338,1352]"
3,1500,1500,10,BranchAndBound,0.00257273,13434,"[125,148,158,371,402,414,420,731,808,824,928,1114,1286,1308,1417]"
3,1600,1600,1,BranchAndBound,0.00123144,16427,"[21,96,195,262,470,526,557,597,858,918,1117,1204,1208,1245,1249,1327,1358,1398,1510,1522,1564,1575]"
3,1600,1600,2,BranchAndBound,0.000962967,11195,"[219,221,278,436,490,536,586,708,728,847,942,970,979,1032,1038,1248,1447,1520]"
3,1600,1600,3,BranchAndBound,0.00108931,14333,"[137,138,143,202,218,234,320,383,402,421,605,772,853,918,1070,1153,1312,1352,1365,1371,1398,1487,1516,1555,1594]"
3,1600,1600,4,BranchAndBound,0.00182327,18370,"[111,167,288,519,534,546,568,659,758,805,813,826,940,946,968,1040,1073,1122,1204,1240,1304,1504]"
3,1600,1600,5,BranchAndBound,0.00129227,15729,"[171,273,295,361,396,462,553,846,1057,1062,1083,1174,1219,1349,1393,1587]"
3,1600,1600,6,BranchAndBound,0.00135883,16246,"[128,130,140,172,186,232,270,274,279,325,446,530,648,999,1032,1155,1270,1300,1338,1350,1494]"
3,1600,1600,7,BranchAndBound,0.00173562,16736,"[157,214,224,286,314,397,406,723,749,769,812,813,945,965,1000,1163,1196,1317,1385,1444]"
3,1600,1600,8,BranchAndBound,0.000958708,12838,"[99,178,182,318,470,489,577,616,618,744,951,955,1063,1112,1227,1248,1268,1402]"
3,1600,1600,9,BranchAndBound,0.00144403,15523,"[99,103,274,281,311,329,474,498,597,642,651,658,749,899,923,955,972,1195,1363,1379,1470,1484]"
