experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
1,1000,100,1,BranchAndBound,0.000149669,3928,"[101,214,244,824]"
1,1000,100,10,BranchAndBound,0.00015826,6684,"[329,544,701,799,828,859,935]"
1,1000,100,2,BranchAndBound,0.000119707,3873,"[31,238,378,881]"
1,1000,100,3,BranchAndBound,0.000157841,5701,"[223,280,358,371,375,676]"
1,1000,100,4,BranchAndBound,0.000208616,5218,"[155,420,549,761,943,988]"
1,1000,100,5,BranchAndBound,0.00011838,3845,"[195,340,681,943]"
1,1000,100,6,BranchAndBound,0.000236901,6406,"[99,211,299,512,581,859,996]"
1,1000,100,7,BranchAndBound,0.000105041,3953,"[298,405,431,487]"
1,1000,100,8,BranchAndBound,0.000134933,6706,"[90,220,545,723,751,932,971]"
1,1000,100,9,BranchAndBound,0.000198488,6936,"[83,180,181,235,306,432,508,881]"
1,100,100,1,BranchAndBound,0.00115796,9574,"[4,10,11,14,15,18,33,36,37,45,60,67,72,78,93,94,95]"
1,100,100,10,BranchAndBound,0.000800937,9731,"[3,9,16,19,20,25,28,31,42,43,46,47,51,56,83,91]"
1,100,100,2,BranchAndBound,0.000530652,9331,"[0,2,8,15,24,36,37,48,54,61,81,82,83,97,98]"
1,100,100,3,BranchAndBound,0.000441255,12401,"[5,11,21,33,35,39,41,48,57,58,71,74,75,78,87,90,92]"
1,100,100,4,BranchAndBound,0.000533865,9255,"[1,17,20,22,23,28,38,39,45,46,48,55,59,65,74,82,94,97]"
1,100,100,5,BranchAndBound,0.000496291,12038,"[2,5,10,13,18,30,34,36,37,43,59,74,79,87,95,97]"
1,100,100,6,BranchAndBound,0.000370576,8521,"[9,10,13,23,24,33,45,47,54,67,69,70,71,77,85,86,87,96,99]"
1,100,100,7,BranchAndBound,0.00039977,11955,"[7,19,22,25,30,33,40,47,49,50,57,62,75,76,81,82]"
1,100,100,8,BranchAndBound,0.0005845,13415,"[16,24,28,30,32,36,44,46,47,57,71,74,76,79,80,81,85,86,88,89,93,95,96]"
1,100,100,9,BranchAndBound,0.000535401,15935,"[1,9,11,12,16,25,27,29,37,39,45,48,50,51,54,55,61,62,70,76,78,80,88,90]"
1,1100,100,1,BranchAndBound,0.000278596,5797,"[301,478,492,497,744,781]"
1,1100,100,10,BranchAndBound,0.000174044,3242,"[154,194,677,1021]"
1,1100,100,2,BranchAndBound,0.000234317,2921,"[146,413,678]"
1,1100,100,3,BranchAndBound,0.000174952,3472,"[157,246,737,1043]"
1,1100,100,4,BranchAndBound,0.000153789,3739,"[101,183,611,743]"
1,1100,100,5,BranchAndBound,0.000181796,8068,"[49,368,490,555,633,734,859,982,1086]"
1,1100,100,6,BranchAndBound,0.000143873,5663,"[12,30,416,445,468,812]"
1,1100,100,7,BranchAndBound,0.000154558,4613,"[48,403,577,827,1025]"
1,1100,100,8,BranchAndBound,0.000110209,2994,"[730,836,999]"
1,1100,100,9,BranchAndBound,0.000186196,3434,"[257,546,682,878]"
1,200,100,1,BranchAndBound,0.000131721,5826,"[1,9,82,86,94,136,138,147,153,155]"
1,200,100,10,BranchAndBound,0.000130253,8230,"[32,35,47,57,62,76,156,180,190,196,198]"
1,200,100,2,BranchAndBound,0.000168177,10186,"[21,22,23,26,37,38,69,82,117,155,198]"
1,200,100,3,BranchAndBound,0.000154768,6165,"[23,25,53,63,71,87,100,131,139,162,184]"
1,200,100,4,BranchAndBound,0.000165524,8279,"[24,35,46,50,71,87,90,164,184]"
1,200,100,5,BranchAndBound,0.000169155,9543,"[15,49,69,93,114,133,143,144,147,156,199]"
1,200,100,6,BranchAndBound,0.000155885,6310,"[2,15,16,22,43,55,67,88,129,156,180]"
1,200,100,7,BranchAndBound,0.000214273,10376,"[26,50,72,89,102,109,149,161,183,193,194,195,199]"
1,200,100,8,BranchAndBound,0.000120545,7711,"[7,12,24,41,74,78,108,119,153,191,197]"
1,200,100,9,BranchAndBound,0.000146177,6462,"[34,75,83,104,112,159,177,178]"
1,300,100,1,BranchAndBound,0.000209872,6270,"[17,73,74,124,253,262,275,279]"
1,300,100,10,BranchAndBound,0.000224958,4142,"[3,30,36,72,73,97,103,111,204,207,254,290]"
1,300,100,2,BranchAndBound,0.00020184,5313,"[1,13,29,44,51,87,92,104,121]"
1,300,100,3,BranchAndBound,0.000150717,6360,"[28,44,134,149,153,167,181,205,207,222,228,238]"
1,300,100,4,BranchAndBound,0.000211897,5869,"[5,17,27,65,105,116,172,187,280]"
1,300,100,5,BranchAndBound,0.000126901,5441,"[22,53,59,146,192,255,297]"
1,300,100,6,BranchAndBound,0.000133746,4773,"[34,38,42,52,90,221,270]"
